TAT_AA,TAT_VV,EDV_LV,EDP_LV,ESV_LV,pMax_LV,dpdtMax_LV,dpdtMin_LV,EDV_RV,EDP_RV,ESV_RV,pMax_RV,dpdtMax_RV,dpdtMin_RV,EDV_LA,ESV_LA,maxV_LA,maxP_LA,EDV_RA,ESV_RA,maxV_RA,maxP_RA
127.843,204.506,153.09,6.55,104.21,125.15,1717,-736,129.61,3.35,80.93,21.88,239,-106,189.12,146.73,198.16,6.31,152.3,114.36,158.77,4.16
148.594,216.275,169.03,6.57,90.12,89.61,1219,-630,174.1,5.35,95.64,30.68,289,-177,168.59,135.56,194.36,5.12,171.34,120.67,176.85,5.95
148.61,198.098,172.25,5.22,140.22,83.42,964,-465,100.12,2.96,72.92,25.77,374,-139,177.87,146.51,177.55,5.83,149.03,124.86,154.49,3.38
122.188,207.996,142.35,3.88,91.06,85.23,1251,-542,133.1,3.47,86.65,28.75,445,-160,158.99,142.56,176.9,3.43,159.75,128.16,164.61,3.69
117.808,200.374,130.5,3.76,88.54,95.89,1382,-538,128.22,4.07,91.09,28.82,444,-140,155.04,127.95,161.9,3.88,154.52,117.42,161.16,5.29
137.078,188.621,142.26,5.05,86.62,86.9,1339,-563,149.35,5.01,99.06,31.32,476,-171,151.98,117.47,163.23,4.27,164.13,110.38,167.61,5.88
136.411,208.717,183.9,7.84,117.64,81.83,777,-520,116.45,5.48,54.67,25.91,188,-138,182.03,126.18,192.22,7.38,158.27,103.78,167.59,6.85
141.427,196.482,130.07,3.06,82.05,81.99,1378,-510,136.13,4.08,93.98,28.7,469,-155,146.23,132.92,162.39,2.85,157.34,125.31,165.89,4.95
128.265,181.714,142.5,6.37,73.26,86.36,1154,-664,144.99,5.49,78.44,25.82,129,-122,173.78,131.65,193.12,5.88,175.06,112.93,178.37,6.63
144.748,211.431,144.52,3.86,88.38,75.2,1065,-427,138.48,4.83,85.55,26.44,257,-134,158.88,137.65,180,3.58,169.99,124.78,177.72,6.07
139.601,168.883,145.88,4.5,106.12,84.85,1240,-499,104.9,3.12,70.98,22.84,346,-120,181.16,159.22,188.66,4.43,153.3,133.6,161.72,3.28
128.534,188.122,137.39,5.68,95.97,102.25,1297,-623,138.74,3.04,100.78,20.71,280,-114,184.1,144.95,184.44,5.04,147.21,121.34,157.62,3.54
139.697,210.948,130.94,4.37,94.83,96.58,1397,-641,134.7,3.04,101.14,27.99,407,-168,173.6,138.59,174.65,4.66,152.77,119.33,156.86,3.82
121.41,179.063,179.09,7.52,129.4,104.57,1679,-696,124.57,4.32,79.22,26.13,311,-154,174.84,125.13,177.97,7.63,154.73,104.38,156.4,5.96
129.201,183.571,150.37,7.34,113.07,122.03,1553,-707,133.95,2.38,94.17,20.69,291,-113,189.53,148.15,191.56,6.6,142.71,118.25,147.27,2.67
117.97,210.872,185.9,8.46,147.23,116.5,1419,-631,110.06,3.45,73.34,24.13,318,-140,188.22,137.28,189.16,9.12,144.32,106.99,150.38,4.57
129.696,179.4,160.46,6.51,127.7,90.08,1109,-553,109.19,4.02,79.25,26.99,401,-156,173.91,141.07,174.13,4.37,152.58,122.65,157.74,3.57
130.172,193.092,128.21,3.25,80.45,64.88,737,-480,143.98,3.91,102.16,26.8,366,-164,155.25,135.78,171.04,3.13,164.73,125.43,172.72,5.08
147.375,169.025,125,5.58,86.14,109.18,1661,-598,128.02,2.83,93.44,20.56,356,-108,181.78,165.71,194.2,4.29,150.39,136.47,160.44,2.47
132.674,163.557,132.22,4.78,80.88,88.33,1541,-567,119.28,3.91,74.3,26.55,355,-121,173.47,150.53,185.93,3.87,166.84,133.94,170,3.7
126.392,186.309,150.41,4.7,119.47,91.92,1147,-564,116.4,2.9,85.91,23.93,356,-149,185.58,151.93,187.47,4.59,156.02,128.3,163.5,3.36
131.98,170.057,147.6,8.09,94.81,105.31,1789,-647,110.37,4.08,62.78,27.36,335,-135,188.72,146.3,196.92,7.45,160.83,119.62,164.05,4.51
135.694,224.719,165.92,6.38,113.47,112.89,1666,-657,137.87,3.09,87.56,28.61,395,-161,174.77,136.55,186.41,6.31,147.4,109.81,153.06,4.21
157.78,187.277,180.32,9.01,145.29,113.01,1587,-616,112.58,3.55,76.27,24.52,326,-132,177.31,131.76,179.63,8,144.8,106.61,147,3.95
