PCa_b,trpnmax,Gncx_b,Tref,perm50,nperm,TRPN_n,dr,wfrac,TOT_A,ktm_unblock,ca50,mu,maxI_up,maxTrpn,g_CaL,Tref,perm50,nperm,TRPN_n,dr,wfrac,TOT_A,phi,ca50,mu,CV_ventricles,k_FEC,CV_atria,k_BB,AV_delay,Rsys,Rpulm,Aol,kArt,a_ventricles,bt_ventricles,a_atria,bf_atria,bt_atria,k_peri,p_shift_diastasis,EDP_rv,a_lvrv,Tref_lvrv
0.000123616,0.0752361,0.00162027,170.275,0.25419,2.68666,2.2703,0.224465,0.617025,29.9161,0.0221442,0.643767,3.27706,0.00581515,0.0874872,0.193292,85.697,0.388865,3.16079,2.5775,0.223152,0.572767,20.8034,2.64865,1.27711,9.98017,0.731436,1.54645,0.989627,4.25467,111,2.47975,1.13459,421.627,7.99603,0.526624,3.04575,1.50857,7.303,3.0496,0.00126833,7.33165,6.30555,1.25646,0.857259
0.000144074,0.119932,0.00096815,189.727,0.334917,2.40637,2.70219,0.19045,0.396375,15.207,0.0290592,0.812159,2.99128,0.00316054,0.0470677,0.151444,89.6267,0.459475,5.74124,1.67549,0.265581,0.510475,14.4781,1.51102,0.890358,9.8855,0.387643,6.19834,0.959204,4.40681,195,1.12252,3.49445,355.739,9.88418,0.763963,4.44276,1.66142,4.03117,3.80794,0.00190274,6.25042,3.59171,1.31396,0.700794
9.92E-05,0.101011,0.00150999,159.602,0.268925,2.29634,2.77658,0.170673,0.574232,23.9509,0.0297703,0.521756,2.40507,0.00583705,0.0883125,0.118029,104.786,0.303787,2.86839,2.29277,0.254753,0.462634,13.8598,2.11085,1.09654,11.5327,0.561768,3.14884,0.99944,2.26091,130,2.03894,3.05958,460.892,8.53871,1.19723,2.80208,2.01223,4.69933,2.21024,0.000942959,4.08992,7.64516,1.69578,0.549181
0.000150286,0.0954046,0.00236797,152.699,0.294377,2.90596,2.35614,0.186909,0.589411,14.126,0.0292367,0.526219,1.64395,0.00599302,0.0990885,0.141521,89.993,0.394492,3.26127,2.30314,0.259647,0.48737,34.7,2.59717,0.97077,6.34352,0.429402,7.31557,0.840316,4.55152,174,1.0668,1.88634,334.554,6.48155,0.905537,2.96171,2.47687,9.75316,3.86066,0.000789934,4.44359,6.41465,1.30381,0.930118
0.000137837,0.0818886,0.00161835,183.292,0.214725,2.33696,2.82963,0.18624,0.303751,16.1528,0.0162235,0.68683,4.08545,0.00764446,0.0861483,0.118889,111.331,0.432123,5.33614,1.29199,0.206813,0.746106,20.6931,1.99038,1.2479,7.14833,0.506279,5.08397,0.824913,4.63594,147,3.12641,2.26764,406.099,9.86682,1.26459,1.83749,2.39913,8.5212,3.77318,0.00174952,7.20015,4.41096,1.51824,0.514273
0.000146656,0.0747378,0.00206052,134.249,0.240544,2.79571,2.95371,0.263981,0.61402,21.5185,0.0296326,0.558448,3.61673,0.00471272,0.0709314,0.177504,104.394,0.499282,5.89401,1.09861,0.209579,0.570072,18.4136,2.00564,1.07012,7.61426,0.463169,4.23279,0.847361,3.83813,146,3.90742,1.45939,394.688,6.74266,1.33529,4.20999,2.42615,9.71225,3.67357,0.00130864,7.67398,7.97067,1.20496,0.5687
0.000152535,0.0663527,0.00227009,190.699,0.389324,2.69688,2.88028,0.215806,0.310545,21.0221,0.0153505,0.57551,2.36955,0.00354563,0.0421721,0.146526,86.4032,0.519985,6.0591,1.10118,0.150344,0.62268,16.4202,2.37165,1.00524,4.68887,0.544679,4.03413,0.853234,3.66005,186,2.99558,3.11845,380.409,7.63517,0.833874,4.47534,2.22254,10.4292,3.10945,0.00132442,8.9012,5.58821,1.68539,0.517434
0.000153496,0.0877276,0.00179445,176.137,0.274316,2.27804,2.65367,0.182144,0.437849,26.131,0.0169562,0.658535,2.50706,0.00598621,0.095175,0.167847,97.6671,0.423126,4.90475,1.53443,0.185857,0.683659,15.4623,2.94065,1.16354,10.2659,0.504525,4.37983,0.935691,2.88774,165,1.91592,2.70388,307.529,6.42328,0.970113,1.79341,1.54476,10.9709,3.0773,0.00127122,8.65227,4.63371,1.54629,0.5376
9.98E-05,0.0880006,0.00121491,138.172,0.206329,2.61525,2.40723,0.132433,0.687457,17.7139,0.029827,0.668585,3.22485,0.00581791,0.0744134,0.0939236,97.8019,0.252831,2.70592,2.8281,0.163793,0.560226,22.089,1.98054,0.951792,9.44699,0.72164,1.50544,1.00227,5.58026,142,3.2916,2.65238,442.709,9.99285,1.12748,3.0386,1.92494,7.1696,1.70987,0.00108373,8.49328,3.03087,1.9928,0.974816
9.80E-05,0.0736962,0.00140091,131.616,0.260368,2.88474,2.76818,0.132916,0.555128,33.0906,0.0293511,0.463238,3.29077,0.006092,0.0871378,0.15225,108.941,0.41906,3.13589,2.65719,0.257664,0.383689,30.8729,1.95277,1.08972,12.5849,0.462148,7.13291,0.925631,2.30044,198,3.54008,2.64368,340.397,7.90991,0.541059,2.06382,1.50421,8.27349,2.27175,0.00120715,6.09687,5.36329,1.63431,0.561334
0.000106887,0.0832343,0.00168844,199.5,0.232057,2.15915,2.64705,0.27607,0.489,16.5075,0.0258228,0.635384,3.32927,0.00750762,0.0820801,0.120183,104.354,0.488594,6.27255,1.08282,0.191453,0.595644,21.5789,1.34415,1.06158,8.62305,0.481886,3.32163,0.876593,4.85286,125,2.00978,1.42118,498.343,7.40099,0.914543,4.31996,2.05711,9.75354,1.69768,0.000797596,7.53837,7.51639,1.11198,0.65493
0.000136831,0.0768368,0.00199521,136.352,0.318982,2.65075,2.9531,0.137297,0.419359,28.0805,0.0235684,0.443714,3.23141,0.00630317,0.0803228,0.137605,92.3608,0.452671,4.70182,1.37811,0.276198,0.585389,19.5542,3.03505,1.2556,12.9674,0.676919,2.28357,1.01672,3.82732,136,2.3503,2.37508,339.584,6.912,0.831214,3.11998,1.8172,11.9567,3.49023,0.00197049,6.98166,4.45841,1.75299,0.795893
0.000121738,0.109609,0.00125084,186.472,0.326409,2.88627,2.45782,0.177607,0.450678,24.9459,0.0260382,0.626223,2.15289,0.0066748,0.092658,0.151755,115.439,0.515009,3.42013,1.51359,0.181702,0.52243,31.8451,1.9336,1.14802,12.7147,0.628387,2.58204,0.872204,4.40507,145,2.31667,3.49689,301.482,9.76652,0.608617,2.69219,2.23481,8.55054,2.98451,0.00176428,8.8405,5.89971,1.79642,0.752297
